1       10 0 0 EGNI Skegness
111  53.31231918  000.17475527 
111  53.31111632  000.17296332 
111  53.31035722  000.16700471 
111  53.31007504  000.16671784 
111  53.30810981  000.16758404 
113  53.30775460  000.16803310 
19   53.31032658  000.16665629 1 WS
19   53.30841099  000.16729314 1 WS
19   53.30875049  000.17809579 1 WS
19   53.31157312  000.17927425 1 WS
